Numot,Season,game_id,result,season,team1_adjde,team1_adjoe,team1_adjtempo,team1_ap_final,team1_ap_preseason,team1_arate,team1_blockpct,team1_coach_name,team1_coaches_before_final,team1_coaches_preseason,team1_de,team1_f3grate,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_id,team1_lat,team1_long,team1_oe,team1_opparate,team1_oppblockpct,team1_oppf3grate,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppstlrate,team1_pt_career_overall_losses,team1_pt_career_school_losses,team1_pt_career_school_wins,team1_pt_coach_season_losses,team1_pt_coach_season_wins,team1_pt_overall_ff,team1_pt_overall_ncaa,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_school_ncaa,team1_pt_school_s16,team1_pt_team_season_losses,team1_pt_team_season_wins,team1_rpi_rating,team1_seed,team1_stlrate,team1_teamname,team1_tempo,team2_adjde,team2_adjoe,team2_adjtempo,team2_ap_preseason,team2_arate,team2_blockpct,team2_coach_id,team2_coach_name,team2_coaches_before_final,team2_coaches_preseason,team2_de,team2_f3grate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_id,team2_oe,team2_opparate,team2_oppblockpct,team2_oppf3grate,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppstlrate,team2_pt_career_overall_losses,team2_pt_career_school_losses,team2_pt_career_school_wins,team2_pt_coach_season_losses,team2_pt_coach_season_wins,team2_pt_overall_ff,team2_pt_overall_ncaa,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_school_ncaa,team2_pt_school_s16,team2_pt_team_season_losses,team2_pt_team_season_wins,team2_rpi_rating,team2_score,team2_seed,team2_stlrate,team2_tempo,team1_pt_career_overall_wins,team2_pt_career_overall_wins
0,2002,2002-1448-1337,1,2002,100.3366,115.7479,71.5241,,,55.2448,9.9499,Skip Prosser,,,103.9414,31.2798,52.8839,36.6412,73.8192,1448,36.135301,-80.279004,110.6312,53.2979,6.5323,34.2897,49.32,34.4307,68.7764,0.1039,90,12,185,12,20,0,5,0,0,0,0,12,20,0.595,7,0.0879,Wake Forest,73.2075,96.7807,108.5752,74.1163,,48.4429,12.603,paul-westphal-1,Paul Westphal,,,99.0433,32.4098,49.5746,36.4516,71.4729,1337,107.0549,57.3901,5.7231,33.0022,43.7397,36.7893,72.1704,0.0752,8,8,22,8,22,0,0,0,0,0,0,8,22,0.597,74,10,0.0933,74.1445,186,22
0,2002,2002-1461-1211,1,2002,96.6601,106.037,70.4124,,,51.8856,10.4355,Steve McClain,,,97.0568,25.1781,50.6349,30.8962,69.6822,1461,41.311943,-105.57204,105.3654,53.8787,8.8095,29.4493,43.1389,36.2205,70.8783,0.1068,40,40,78,8,21,0,0,0,0,0,0,8,21,0.567,11,0.096,Wyoming,69.6172,96.3415,115.1777,70.1758,,57.8161,8.7981,mark-few-1,Mark Few,6,,93.6616,31.1695,50.1169,39.0706,73.2446,1211,112.7484,50,7.7163,34.4152,41.791,33.2335,68.5668,0.0813,19,19,81,3,29,0,2,2,0,2,2,3,29,0.579,66,6,0.0804,70.978,79,81
0,2002,2002-1153-1131,1,2002,88.0357,115.7842,68.7152,5,,48.7073,10.2265,Bob Huggins,5,,86.3924,27.8609,50.7363,36.2218,70.9178,1153,39.131159,-84.51428,112.2741,44.8095,6.2249,28.4029,40.4942,29.5848,68.2848,0.0657,146,100,427,3,30,1,11,4,1,10,4,3,30,0.664,1,0.069,Cincinnati,68.4368,101.1011,99.5634,65.8612,,53.3422,7.7994,dennis-wolff-1,Dennis Wolff,,,95.6198,32.0883,45.4167,35.8025,68.8172,1131,102.6611,55.0218,10.3333,38.8068,42.8041,33.0893,68.2443,0.1041,106,106,129,9,22,0,1,0,0,1,0,9,22,0.579,52,16,0.0913,65.0025,428,129
0,2002,2002-1208-1293,1,2002,96.9263,114.569,70.9604,23,,56.9087,9.4293,Jim Harrick,,,100.5115,30.1747,50.7961,32.2807,74.3066,1208,33.943487,-83.373847,108.4477,56.2882,9.022,36.3349,50.0414,31.0145,66.6058,0.1055,226,44,450,9,21,1,15,4,0,1,0,9,21,0.612,3,0.1259,Georgia,70.6786,104.2136,104.1288,70.7761,,49.2974,12.5,tevester-anderson-1,Tevester Anderson,,,103.1195,31.0985,49.476,32.0066,71.8861,1293,106.5064,57.6577,7.0359,31.8656,50.085,34.1818,70.5056,0.1074,39,39,86,12,19,0,1,0,0,1,0,12,19,0.609,68,14,0.1051,72.066,451,86
0,2002,2002-1268-1373,1,2002,91.5424,116.2551,75.418,4,2,65.928,13.6106,Gary Williams,4,2,94.3706,25.8007,51.9185,37.4138,72.5616,1268,38.988607,-76.939704,113.1674,53.1522,7.6739,31.1198,43.6673,31.6597,68.118,0.0941,271,143,475,4,26,1,11,7,1,8,5,4,26,0.659,1,0.1118,Maryland,75.2758,99.6885,98.6102,67.7359,,54.5135,11.3308,rob-lanier-1,Rob Lanier,,,96.3688,35.3229,45.6127,34.626,74.4032,1373,98.693,57.8947,10.5144,36.657,42.6616,33.6399,69.6471,0.102,18,18,16,18,16,0,0,0,0,0,0,18,16,0.464,70,16,0.0778,68.8425,481,17
0,2002,2002-1338-1148,1,2002,91.6547,110.257,65.6775,9,,63.5776,11.9175,Ben Howland,7,,90.1442,34.5491,54.7988,32.2581,60.4527,1338,40.444502,-79.954692,107.3403,54.902,9.4427,32.4213,44.6142,28.8217,69.5222,0.0792,95,34,136,5,27,0,1,0,0,0,0,5,27,0.608,3,0.0991,Pittsburgh,66.5007,96.3931,98.4339,65.6751,,51.5971,8.2665,howie-dickenman-1,Howie Dickenman,,,92.1765,22.3285,48.8776,35.0126,73.6011,1148,105.115,52.4675,7.3135,32.9747,46.6292,30.832,62.1505,0.1063,78,78,97,4,27,0,1,0,0,1,0,4,27,0.52,54,14,0.0989,67.3755,138,97
0,2002,2002-1400-1130,1,2002,99.4373,113.6185,70.6207,,23,54.373,9.5342,Rick Barnes,,23,102.7344,25.9542,48.2603,36.7647,68.6732,1400,30.28473,-97.737277,109.8999,52.13,8.3119,32.5147,47.3071,36.5559,65.3955,0.091,176,42,290,11,20,0,9,1,0,3,0,11,20,0.596,6,0.0869,Texas,70.7855,97.6867,107.0112,70.708,17,53.5581,8.1839,al-skinner-1,Al Skinner,,17,99.2527,32.8803,45.8723,33.7043,69.5876,1130,103.7066,52.4968,9.3458,30.1959,46.6095,32.973,65.8098,0.1047,198,72,217,11,20,0,3,0,0,1,0,11,20,0.612,57,11,0.1139,70.6985,292,217
0,2002,2002-1417-1279,1,2002,96.7451,110.6811,68.5327,,5,52.9933,8.1152,Steve Lavin,,5,102.9371,29.9163,50.6716,38.986,69.1834,1417,34.068892,-118.443901,106.244,55.6858,6.1194,42.9283,49.3892,33.2947,71.5548,0.0805,58,58,133,11,19,0,5,4,0,5,4,11,19,0.586,8,0.0784,UCLA,69.505,94.8577,112.3212,66.4878,,57.6602,5.1818,rod-barnes-1,Rod Barnes,,,95.6265,38.8288,50.6764,37.8689,73.5736,1279,107.7291,51.8409,11.5505,29.7125,48.3636,31.6129,67.8233,0.1085,45,45,86,10,20,0,2,1,0,2,1,10,20,0.57,58,9,0.1075,66.967,135,86
0,2002,2002-1458-1385,1,2002,95.4425,107.4935,64.6828,,,55.6188,5.1925,Bo Ryan,,,100.3758,35.5556,47.6054,35.7639,71.8354,1458,43.073858,-89.405356,103.0291,51.1258,9.1954,32.1385,51.1191,34.7826,68.7251,0.1002,39,12,48,12,18,0,0,0,0,0,0,12,18,0.569,8,0.0912,Wisconsin,63.8016,91.7203,99.3518,70.725,,46.9388,9.7403,mike-jarvis-1,Mike Jarvis,,,94.3765,24.7824,43.9074,28.719,66.9544,1385,97.0139,57.3154,9.1899,30.2378,46.1039,33.1461,72.1024,0.0992,184,43,340,11,20,0,8,2,0,2,1,11,20,0.575,70,9,0.1393,71.8188,49,340
0,2002,2002-1245-1104,1,2002,96.201,113.6686,66.1658,,,48.4721,5.4849,Stan Heath,,,96.7084,28.7894,50.7947,36.5812,73.1034,1245,41.146856,-81.342253,115.7547,50.6394,5.5978,32.9782,46.1844,32.4717,68.9051,0.0717,5,5,27,5,27,0,0,0,0,0,0,5,27,0.604,10,0.0974,Kent St.,65.4145,93.877,111.4954,69.9001,24,50.5495,8.0468,mark-gottfried-1,Mark Gottfried,8,24,95.2313,33.945,50.6579,30.8677,73.5782,1104,108.4361,46.988,7.1637,32.7925,45.2085,31.7841,68.2422,0.0881,73,49,149,7,26,0,2,0,0,0,0,7,26,0.637,58,2,0.1053,69.8636,30,150
0,2002,2002-1332-1448,1,2002,95.8647,116.6486,72.3868,11,,57.085,7.0243,Ernie Kent,11,,96.8665,34.8814,52.352,42.2096,77.0784,1332,44.044515,-123.07398,116.3415,45.2563,6.6009,26.0274,46.4879,34.3013,67.9767,0.0927,137,57,181,8,23,0,2,0,0,1,0,8,23,0.593,2,0.099,Oregon,73.3053,100.3366,115.7479,71.5241,,55.2448,9.9499,skip-prosser-1,Skip Prosser,,,103.9414,31.2798,52.8839,36.6412,73.8192,1448,110.6312,53.2979,6.5323,34.2897,49.32,34.4307,68.7764,0.1039,90,12,185,12,20,0,5,0,0,0,0,12,20,0.595,87,7,0.0879,73.2075,184,186
0,2002,2002-1163-1301,1,2002,91.5948,108.1906,70.3456,10,,50.823,15.6499,Jim Calhoun,13,,93.6429,19.4334,50.4627,39.3862,69.6315,1163,41.808215,-72.249537,106.1949,55.7831,8.575,30.8891,40.5836,32.3442,71.151,0.091,286,149,623,6,24,1,14,7,1,9,7,6,24,0.627,2,0.1035,Connecticut,71.8605,93.5746,109.9085,68.8094,,63.2677,5.6648,herb-sendek-1,Herb Sendek,25,,96.7003,40.4712,51.4512,35.9638,75.5047,1301,108.3939,54.8185,9.7625,29.7402,49.5673,31.4126,73.6626,0.0984,110,84,171,10,22,0,1,0,0,0,0,10,22,0.585,74,7,0.1136,69.9059,626,172
0,2002,2002-1328-1462,1,2002,88.5941,110.4555,68.4844,3,25,51.1375,9.6264,Kelvin Sampson,3,25,91.4413,29.5484,48.2265,35.0148,76.676,1328,35.208152,-97.445692,111.0435,55.4717,8.1518,28.9796,44.8994,29.9296,68.5611,0.0824,176,73,286,4,27,0,8,1,0,7,1,4,27,0.655,2,0.1293,Oklahoma,69.3604,92.009,109.1179,68.0282,,51.4801,10.6557,thad-matta-1,Thad Matta,19,,93.2482,31.9284,49.1942,35.6239,72.1019,1462,108.3514,51.9256,8.7362,28.7307,43.7407,30.6839,66.8687,0.0898,13,5,49,5,25,0,1,0,0,0,0,5,25,0.613,65,7,0.0986,66.8298,290,50
0,2002,2002-1338-1143,1,2002,91.6547,110.257,65.6775,9,,63.5776,11.9175,Ben Howland,7,,90.1442,34.5491,54.7988,32.2581,60.4527,1338,40.444502,-79.954692,107.3403,54.902,9.4427,32.4213,44.6142,28.8217,69.5222,0.0792,95,34,136,5,27,0,1,0,0,0,0,5,27,0.608,3,0.0991,Pittsburgh,66.5007,93.0913,108.4214,68.0084,,58.3234,11.9891,ben-braun-1,Ben Braun,,,94.9897,32.1796,51.6746,31.4286,67.713,1143,104.0471,59.6708,7.0973,36.8693,46.1399,34.3701,66.6174,0.0729,202,69,301,8,22,0,5,2,0,2,1,8,22,0.593,50,6,0.1143,68.9445,138,302
0,2002,2002-1356-1208,1,2002,94.6616,105.457,73.0735,,,56.0451,11.8257,Bruce Weber,,,94.3099,28.4161,49.9339,36.6057,61.9318,1356,37.71921,-89.217618,107.0924,47.7245,6.7371,28.3094,42.047,35.9019,69.8824,0.0938,46,46,77,7,26,0,0,0,0,0,0,7,26,0.579,11,0.1036,Southern Illinois,70.9269,96.9263,114.569,70.9604,,56.9087,9.4293,jim-harrick-1,Jim Harrick,,,100.5115,30.1747,50.7961,32.2807,74.3066,1208,108.4477,56.2882,9.022,36.3349,50.0414,31.0145,66.6058,0.1055,226,44,450,9,21,1,15,4,0,1,0,9,21,0.612,75,3,0.1259,70.6786,79,451
0,2002,2002-1231-1181,1,2002,89.9224,109.6136,66.5739,,22,58.4949,12.5086,Mike Davis,,22,94.4987,33.0213,48.3696,40,69.4561,1231,39.166383,-86.526904,105.3974,48.2295,10.0155,27.359,42.8866,35.5839,66.4013,0.1075,24,24,41,11,20,0,1,0,0,1,0,11,20,0.611,5,0.1045,Indiana,65.7442,87.7504,118.5999,75.1685,1,57.1821,7.2251,mike-krzyzewski-1,Mike Krzyzewski,1,1,90.2544,37.5736,57.4329,36.2651,68.9845,1181,116.3726,49.5516,7.4692,26.1916,46.2916,30.2703,68.8693,0.0919,226,167,635,3,29,9,17,12,9,17,12,3,29,0.656,73,1,0.1297,77.0734,46,637
1,2002,2002-1245-1338,1,2002,96.201,113.6686,66.1658,,,48.4721,5.4849,Stan Heath,,,96.7084,28.7894,50.7947,36.5812,73.1034,1245,41.146856,-81.342253,115.7547,50.6394,5.5978,32.9782,46.1844,32.4717,68.9051,0.0717,5,5,27,5,27,0,0,0,0,0,0,5,27,0.604,10,0.0974,Kent St.,65.4145,91.6547,110.257,65.6775,,63.5776,11.9175,ben-howland-1,Ben Howland,7,,90.1442,34.5491,54.7988,32.2581,60.4527,1338,107.3403,54.902,9.4427,32.4213,44.6142,28.8217,69.5222,0.0792,95,34,136,5,27,0,1,0,0,0,0,5,27,0.608,73,3,0.0991,66.5007,30,138
0,2002,2002-1281-1417,1,2002,99.0919,112.3241,70.5889,,8,52.2793,9.7222,Quin Snyder,,8,101.992,37.0173,49.6829,39.0887,68.9704,1281,38.626527,-90.336949,112.716,54.8999,7.8224,25.4588,47.4747,36.414,66.8831,0.101,37,37,59,11,21,0,2,0,0,2,0,11,21,0.564,12,0.1029,Missouri,70.7578,96.7451,110.6811,68.5327,5,52.9933,8.1152,steve-lavin-1,Steve Lavin,,5,102.9371,29.9163,50.6716,38.986,69.1834,1417,106.244,55.6858,6.1194,42.9283,49.3892,33.2947,71.5548,0.0805,58,58,133,11,19,0,5,4,0,5,4,11,19,0.586,73,8,0.0784,69.505,62,135
0,2002,2002-1328-1112,1,2002,88.5941,110.4555,68.4844,3,25,51.1375,9.6264,Kelvin Sampson,3,25,91.4413,29.5484,48.2265,35.0148,76.676,1328,35.208152,-97.445692,111.0435,55.4717,8.1518,28.9796,44.8994,29.9296,68.5611,0.0824,176,73,286,4,27,0,8,1,0,7,1,4,27,0.655,2,0.1293,Oklahoma,69.3604,96.9262,117.3877,72.8207,,56.4706,7.2512,lute-olson-1,Lute Olson,8,,104.0411,33.6275,50,37.6093,73.0769,1112,111.0077,54.8255,8.4934,31.9731,47.8576,34.7826,70.1258,0.0839,239,144,656,9,22,5,22,10,4,17,8,9,22,0.635,67,3,0.0835,74.1462,290,658
0,2002,2002-1242-1228,1,2002,90.5399,115.0406,79.1217,2,7,61.3288,12.2449,Roy Williams,2,7,94.4261,21.791,52.5627,41.0959,71.9128,1242,38.957351,-95.24587,114.5438,52.5424,9.1058,31.1622,41.8677,36.4754,68.1621,0.1094,92,92,384,3,29,2,12,7,2,12,7,3,29,0.673,1,0.1159,Kansas,79.0371,92.7977,111.9148,70.701,3,64.978,11.1111,bill-self-1,Bill Self,16,3,96.4559,35.8178,52.7419,36.7052,74.0139,1228,109.6636,55.092,8.1452,35.2551,45.7053,34.0087,66.3158,0.0793,97,16,180,8,24,0,3,2,0,1,1,8,24,0.622,69,4,0.1049,70.3965,388,182
0,2002,2002-1268-1246,1,2002,91.5424,116.2551,75.418,4,2,65.928,13.6106,Gary Williams,4,2,94.3706,25.8007,51.9185,37.4138,72.5616,1268,38.988607,-76.939704,113.1674,53.1522,7.6739,31.1198,43.6673,31.6597,68.118,0.0941,271,143,475,4,26,1,11,7,1,8,5,4,26,0.659,1,0.1118,Maryland,75.2758,91.1143,109.8256,69.3445,4,51.1682,12.3344,tubby-smith-1,Tubby Smith,15,4,94.9881,34.8633,50.9105,31.5089,67.6948,1246,105.2773,52.8477,7.8385,34.0611,45.1159,33.6538,67.9117,0.0987,104,42,254,9,20,1,8,6,1,4,3,9,20,0.613,68,4,0.1055,70.2659,481,256
0,2002,2002-1332-1400,1,2002,95.8647,116.6486,72.3868,11,,57.085,7.0243,Ernie Kent,11,,96.8665,34.8814,52.352,42.2096,77.0784,1332,44.044515,-123.07398,116.3415,45.2563,6.6009,26.0274,46.4879,34.3013,67.9767,0.0927,137,57,181,8,23,0,2,0,0,1,0,8,23,0.593,2,0.099,Oregon,73.3053,99.4373,113.6185,70.6207,23,54.373,9.5342,rick-barnes-1,Rick Barnes,,23,102.7344,25.9542,48.2603,36.7647,68.6732,1400,109.8999,52.13,8.3119,32.5147,47.3071,36.5559,65.3955,0.091,176,42,290,11,20,0,9,1,0,3,0,11,20,0.596,70,6,0.0869,70.7855,184,292
0,2002,2002-1231-1245,1,2002,89.9224,109.6136,66.5739,,22,58.4949,12.5086,Mike Davis,,22,94.4987,33.0213,48.3696,40,69.4561,1231,39.166383,-86.526904,105.3974,48.2295,10.0155,27.359,42.8866,35.5839,66.4013,0.1075,24,24,41,11,20,0,1,0,0,1,0,11,20,0.611,5,0.1045,Indiana,65.7442,96.201,113.6686,66.1658,,48.4721,5.4849,stan-heath-1,Stan Heath,,,96.7084,28.7894,50.7947,36.5812,73.1034,1245,115.7547,50.6394,5.5978,32.9782,46.1844,32.4717,68.9051,0.0717,5,5,27,5,27,0,0,0,0,0,0,5,27,0.604,69,10,0.0974,65.4145,46,30
0,2002,2002-1268-1163,1,2002,91.5424,116.2551,75.418,4,2,65.928,13.6106,Gary Williams,4,2,94.3706,25.8007,51.9185,37.4138,72.5616,1268,38.988607,-76.939704,113.1674,53.1522,7.6739,31.1198,43.6673,31.6597,68.118,0.0941,271,143,475,4,26,1,11,7,1,8,5,4,26,0.659,1,0.1118,Maryland,75.2758,91.5948,108.1906,70.3456,,50.823,15.6499,jim-calhoun-1,Jim Calhoun,13,,93.6429,19.4334,50.4627,39.3862,69.6315,1163,106.1949,55.7831,8.575,30.8891,40.5836,32.3442,71.151,0.091,286,149,623,6,24,1,14,7,1,9,7,6,24,0.627,82,2,0.1035,71.8605,481,626
0,2002,2002-1231-1328,1,2002,89.9224,109.6136,66.5739,,22,58.4949,12.5086,Mike Davis,,22,94.4987,33.0213,48.3696,40,69.4561,1231,39.166383,-86.526904,105.3974,48.2295,10.0155,27.359,42.8866,35.5839,66.4013,0.1075,24,24,41,11,20,0,1,0,0,1,0,11,20,0.611,5,0.1045,Indiana,65.7442,88.5941,110.4555,68.4844,25,51.1375,9.6264,kelvin-sampson-1,Kelvin Sampson,3,25,91.4413,29.5484,48.2265,35.0148,76.676,1328,111.0435,55.4717,8.1518,28.9796,44.8994,29.9296,68.5611,0.0824,176,73,286,4,27,0,8,1,0,7,1,4,27,0.655,64,2,0.1293,69.3604,46,290
